org.leo.dictionary.config.entity.ParseWords:de:en;uk:die+;das+;der+:%5C%7C:%3B:%3B:%5Ct::Collins+German+3000+words+and+phrases

	das wesentliche | the essentials
das Wartezimmer | waiting room | приймальня

		beim zahnarzt | the dentist's surgery
beim zahnarzt | the dentist's surgery | у стоматолога

der Backenzahn | molar | моляр
der Schneidezahn | incisor | різець
der Eckzahn | canine | ікло
die Weisheitszähne; mpl | wisdom teeth | зуби мудрості
die Füllung | filling | начинка
die Krone | crown | коронка
die Wurzelbehandlung | root canal treatment | лікування кореневих каналів
die Zahnschmerzen; mpl | toothache | зубний біль
der Abszess | abscess | гнійник
das Zahnziehen | extraction | виривання зуба
sich die Zähne putzen | to brush one's teeth | чистити зуби
mit Zahnseide reinigen | to floss | очистити зубною ниткою
die Zahnspange | braces | брекети
die Zahnseide | dental floss | зубна нитка
der Zahnarzthelfer | dental nurse | асистент стоматолога
die Zahnarzthelferin | dental nurse | асистент стоматолога
der Zahnarzt | dentist | стоматолог
die Zahnärztin | dentist | стоматолог
der Zahnarztstuhl | dentist's chair | крісло стоматолога
der Bohrer | dentist's drill | дриль
der Zahnersatz | dentures | зубні протези
das Zahnfleisch | gums | ясна
das Mundwasser | mouthwash | рідина для полоскання рота
die Zähne; mpl | teeth | зуби
die Zahnbürste | toothbrush | зубна щітка
die Zahnpasta | toothpaste | зубна паста

		beim optiker | the optician's
beim optiker | the optician's | в оптиці

der Augenarzt | ophthalmologist | офтальмолог
die Augenärztin | ophthalmologist | офтальмолог
die Lesebrille | reading glasses | окуляри для читання
die Bifokalbrille | bifocals | біфокальні окуляри
die harten / weichen Kontaktlinsen; fpl | hard / soft contact lenses | жорсткі / м'які контактні лінзи
die Linse | lens | лінзи
die Bindehautentzündung | conjunctivitis | кон'юнктивіт
das Gerstenkorn | stye | ячмінне зерно
das verschwommene Sehen | blurred vision | розмитий зір
kurzsichtig | short-sighted | короткозорий
weitsichtig | long-sighted | далекозорий
sehbehindert | visually impaired | слабозорий
blind | blind | сліпий
farbblind | colour-blind | дальтонік
eine Brille tragen | to wear glasses | носити окуляри
Kontaktlinsen tragen | to use contacts | носити контактні лінзи
die Kontaktlinsen; fpl | contact lenses | контактні лінзи
der Kontaktlinsenbehälter | contact lens case | футляр для контактних лінз
die Sehtesttafel | eye chart | таблиця перевірки зору
die Augentropfen; mpl | eye drops | очні краплі
der Sehtest | eye test | перевірка зору
das Brillengestell | frames | оправа окулярів
die Brille | glasses | окуляри
das Brillenetui | glasses case | футляр для окулярів
der Optiker | optician | оптик
die Optikerin | optician | оптик

		im krankenhaus | the hospital
im krankenhaus | the hospital | у лікарні

das Krankenhaus | hospital | лікарня
die Notaufnahme | the emergency room | відділення невідкладної допомоги
der Rettungswagen | ambulance | швидка допомога
das öffentliche / private Krankenhaus | public / private hospital | державна / приватна лікарня
der Krankenpfleger | nurse | медсестра
die Krankenschwester | nurse | медсестра
der Physiotherapeut | physiotherapist | фізіотерапевт
die Physiotherapeutin | physiotherapist | фізіотерапевт
der Röntgenassistent | radiographer | рентгенолог
die Röntgenassistentin | radiographer | рентгенолог
der Chirurg | surgeon | хірург
die Chirurgin | surgeon | хірург
die Operation | operation | операція
die CT­ / MRTUntersuchung | CT / MRI scan | обстеження КТ / МРТ
die Intensivstation | intensive care | відділення інтенсивної терапії
die Diagnose | diagnosis | діагноз
der Puls | pulse | пульс
den Puls fühlen | to take his / her pulse | перевірити пульс
operiert werden | to undergo surgery | бути прооперованим
eingeliefert / entlassen werden | to be admitted / discharged | бути прийнятим / виписаним
die Krücken; fpl | crutches | милиці
der Tropf | drip | крапельниця
das Krankenbett | hospital bed | ліжко хворого
der Monitor | monitor | дисплей
der Operationssaal | operating theatre | операційна
die Sauerstoffmaske | oxygen mask | киснева маска
der Gipsverband | plaster cast | гіпсова пов'язка
die Stiche; mpl | stitches | шви
die Station | ward | станція
der Rollstuhl | wheelchair | інвалідний візок
das Röntgenbild | X-ray | рентгенівське зображення
der Rollator | Zimmer frame® | ходок

		die schwangerschaft | pregnancy
die schwangerschaft | pregnancy | вагітність

die Schwangere | pregnant woman | вагітна жінка
das Neugeborene | newborn | новонароджений
der Fötus | foetus | плід
die Gebärmutter | uterus | матка
der Gebärmutterhals | cervix | шийка матки
die Nabelschnur | umbilical cord | пуповина
die Epiduralanästhesie | epidural | епідуральна анестезія
die Blähungen; fpl | gas and air | метеоризм
die Wehen; fpl | labour | скорочення
die Geburt | delivery | народження
der Kaiserschnitt | Caesarean section | кесарів розтин
die Fehlgeburt | miscarriage | викидень
tot geboren | stillborn | народжений мертвим
der Geburtstermin | due date | дата народження
die Schwangerschaftsübelkeit | morning sickness | нудота при вагітності
schwanger werden | to fall pregnant | завагітніти
in den Wehen liegen | to be in labour | бути в декреті
ein Kind zur Welt bringen | to give birth | народити дитину
eine Fehlgeburt haben | to miscarry | мати викидень
stillen | to breast-feed | грудне вигодовування

der Inkubator | incubator | інкубатор
der Kreißsaal | labour suite | пологовий зал
die Hebamme | midwife | акушерка
der Schwangerschaftstest | pregnancy test | тест на вагітність
der Ultraschalldiagnostiker | sonographer | лікар ультразвукової діагностики
die Ultraschalldiagnostikerin | sonographer | лікар ультразвукової діагностики
der Ultraschall | ultrasound | ультразвук

		alternative therapien | alternative therapies
alternative therapien | alternative therapies | альтернативні методи лікування

der Therapeut | therapist | терапевт
die Therapeutin | therapist | терапевт
der Masseur | masseur | масажист
die Masseurin | masseuse | масажистка
der Chiropraktor | chiropractor | мануальний терапевт
die Chiropraktorin | chiropractor | мануальний терапевт
der Akupunkteur | acupuncturist | акупунктурист
die Akupunkteurin | acupuncturist | акупунктурист
der Reflexologe | reflexologist | рефлексотерапевт
die Reflexologin | reflexologist | рефлексотерапевт
das Heilmittel | remedy | ліки
Reiki | reiki | рейки
die Achtsamkeit | mindfulness | уважність
sich entspannen | to relax | відпочивати
massieren | to massage | масаж
meditieren | to meditate | медитувати

das ätherische Öl | essential oil | ефірна олія
die Pflanzenheilkunde | herbal medicine | фітотерапія
die Homöopathie | homeopathy | гомеопатія

die Akupunktur | acupuncture | акупунктура
die Chiropraktik | chiropractic | мануальна терапія
die Hypnotherapie | hypnotherapy | гіпнотерапія
die Massage | massage | масаж
die Meditation | meditation | медитація
die Osteopathie | osteopathy | остеопатія
die Reflexzonenmassage | reflexology | рефлекторний масаж
die Thalassotherapie | thalassotherapy | таласотерапія
die traditionelle chinesische Medizin | traditional Chinese medicine | традиційна китайська медицина

		beim tierarzt | the vet
beim tierarzt | the vet | у ветеринара

die Tierklinik | veterinary clinic | ветеринарна клініка
der Tierarzt | vet | ветеринар
die Tierärztin | vet | ветеринар
das Haustier | pet | домашня тварина
der Floh | flea | блоха
die Zecke | tick | кліщ
die BandwurmBehandlung | tapeworm treatment | лікування солітера
der Heimtierausweis | pet passport | паспорт тварини
die Quarantäne | quarantine | карантин
zum Tierarzt gehen | to go to the vet | піти до ветеринара
mit einem Mikrochip versehen | to microchip | оснащений мікрочіпом
sterilisieren | to spay | стерилізувати
kastrieren | to neuter | каструвати
einschläfern | to put to sleep | приспати
der Elisabeth­Kragen | E-collar | комір Елізабет
das Flohhalsband | flea collar | нашийник від бліх
die Transportbox | pet carrier | транспортний ящик

	die erde | planet earth
die erde | planet earth | земля

		das wesentliche | the basics
das Tier | animal | тварина
die Spezies | species | вид
das Säugetier | mammal | ссавець
das Reptil | reptile | рептилія
die Amphibie | amphibian | амфібія
das Nagetier | rodent | гризун
das Insekt | insect | комаха
das Naturschutzgebiet | nature reserve | природний заповідник
die Landschaft | scenery | краєвид
der Zoo | zoo | зоопарк
das Fell | fur | хутро
die Wolle | wool | шерсть
die Pfote | paw | лапа
der Huf | hoof | копито
die Schnauze | snout | морда
die Mähne | mane | грива
der Schwanz | tail | хвіст
die Kralle | claw | кіготь
das Horn | horn | ріг
die Feder | feather | перо
der Flügel | wing | крило
der Schnabel | beak | дзьоб
kaltblütig | cold-blooded | холоднокровний
warmblütig | warm-blooded | теплокровний
bellen | to bark | гавкати
schnurren | to purr | муркотіти
knurren | to growl | гарчати
brüllen | to roar | ревіти
zwitschern | to chirp | щебетати
summen | to buzz | дзижчати

		haustiere und vögel | domestic animals and birds
haustiere und vögel | domestic animals and birds | домашні тварини і птахи
das Fischfutter | fish food | корм для риб
die Katzenstreu | cat litter | котячий туалет
der Bauer | farmer | фермер
die Bäuerin | farmer | фермер
der Bauernhof | farm | ферма
die Scheune | barn | сарай
das Heu | hay | сіно
das Stroh | straw | солома
die Wiese | meadow | луг
die Herde | herd / flock | стадо
der Welpe | puppy | цуценя
das Kätzchen | kitten | кошеня
das Kalb | calf | теля
das Lamm | lamb | ягня
das Fohlen | foal | лоша
der Blindenhund | guide dog | собака-поводир
ein Haustier haben | to have a pet | мати домашнього улюбленця
den Hund ausführen | to walk the dog | вигулювати собаку
eine Farm betreiben | to farm | вести господарство

der Wellensittich | budgerigar | хвилястий папужка
der Kanarienvogel | canary | канарейка
die Katze | cat | кіт
der Hund | dog | пес
das Frettchen | ferret | тхір
der Goldfisch | goldfish | золота рибка
das Meerschweinchen | guinea pig | морська свинка
der Hamster | hamster | хом'як
der Papagei | parrot | папуга
das Pony | pony | поні
das Kaninchen | rabbit | кролик
die Ratte | rat | щур

der Stier | bull | бик
das Huhn | chicken | курка
die Kuh | cow | корова
der Esel | donkey | осел
die Ente | duck | качка
die Ziege | goat | коза
die Gans | goose | гусак
das Pferd | horse | кінь
das Schwein | pig | свиня
das Schaf | sheep | вівця
der Schäferhund | sheepdog | вівчарка
der Truthahn | turkey | індичка

das Aquarium | aquarium | акваріум
der Käfig | cage | клітка
die Katzenklappe | catflap | котячий клапоть
das Halsband | collar | нашийник
der Hundekorb | dog basket | кошик для собаки
der Kaninchenstall | hutch | кролятник
die Hundehütte | kennel | розплідник
die Leine | lead | повідець
das Katzenklo | litter tray | ящик для сміття
der Maulkorb | muzzle | морда
das Tierfutter | pet food | корм для тварин
der Stall | stable | стайня

		amphibien und reptilien | amphibians and reptiles
amphibien und reptilien | amphibians and reptiles | амфібії та рептилії

der Alligator | alligator | алігатор
das Krokodil | crocodile | крокодил
der Frosch | frog | жаба
der Gecko | gecko | гекон
der Leguan | iguana | ігуана
die Eidechse | lizard | ящірка
der Wassermolch | newt | тритон
der Salamander | salamander | саламандра
die Schlange | snake | змія
die Kröte | toad | жаба
die Schildkröte | tortoise | черепаха
die Wasserschildkröte | turtle | водяна черепаха

		säugetiere | mammals
säugetiere | mammals | ссавці

der Dachs | badger | борсук
die Fledermaus | bat | кажан
das Wildschwein | boar | дикий кабан
das Reh | deer | олень
der Fuchs | fox | лисиця
der Hase | hare | кролик
der Igel | hedgehog | їжак
der Maulwurf | mole | кріт
die Maus | mouse | миша
der Otter | otter | видра
das Eichhörnchen | squirrel | білка
der Wolf | wolf | вовк
der Bär | bear | ведмідь
das Dromedar | camel | верблюд
der Schimpanse | chimpanzee | шимпанзе
der Elefant | elephant | слон
die Giraffe | giraffe | жирафа
der Gorilla | gorilla | горила
das Nilpferd | hippopotamus | бегемот
das Känguruh | kangaroo | кенгуру
der Löwe | lion | лев
der Affe | monkey | мавпа
das Nashorn | rhinoceros | носоріг
der Tiger | tiger | тигр

		vögel | birds
vögel | birds | птахи
die Amsel | blackbird | дрозд
der Bussard | buzzard | канюк
der Kranich | crane | журавель
der Rabe | crow | ворон
die Taube | dove | голуб
der Adler | eagle | орел
der Fink | finch | зяблик
der Flamingo | flamingo | фламінго
die Möwe | gull | чайка
der Reiher | heron | чапля
der Eisvogel | kingfisher | зимородок
die Lerche | lark | жайворонок
der Strauß | ostrich | страус
die Eule | owl | сова
der Pfau | peacock | павич
der Pelikan | pelican | пелікан
der Pinguin | penguin | пінгвін
die Taube | pigeon | голуб
der Papageitaucher | puffin | тупик
das Rotkehlchen | robin | малиновка
der Spatz | sparrow | горобець
der Storch | stork | лелека
der Schwan | swan | лебідь
die Drossel | thrush | дрізд

		gliederfüßer | minibeasts
gliederfüßer | minibeasts | членистоногі
der Schwarm | swarm | рій
die Kolonie | colony | колонія
das Spinnennetz | cobweb | павутина
der Stich | insect bite | укус комахи
summen | to buzz | гудіти
stechen | to sting | жалити
die Ameise | ant | мураха
die Biene | bee | бджола
der Käfer | beetle | жук
der Schmetterling | butterfly | метелик
die Raupe | caterpillar | гусениця
der Tausendfüßler | centipede | багатоніжка
die Küchenschabe | cockroach | тарган
die Grille | cricket | цвіркун
die Libelle | dragonfly | бабка
der Regenwurm | earthworm | дощовий черв'як
die Fliege | fly | муха
die Heuschrecke | grasshopper | коник
der Marienkäfer | ladybird | сонечко
die Eintagsfliege | mayfly | травнева мушка
die Stechmücke | mosquito | комар
die Motte | moth | моль
die Nacktschnecke | slug | слимак
die Schnecke | snail | равлик
die Spinne | spider | павук
die Wespe | wasp | оса
die Kellerassel | woodlouse | мокриця

		meerestiere | marine creatures
meerestiere | marine creatures | морські тварини
die Koralle | coral | корал
die Krabbe | crab | краб
der Delphin | dolphin | дельфін
der Aal | eel | вугор
die Qualle | jellyfish | медуза
der Schwertwal | killer whale | косатка
der Hummer | lobster | омар
der Seehund | seal | тюлень
der Seeigel | sea urchin | морський їжак
der Hai | shark | акула
der Seestern | starfish | морська зірка
der Wal | whale | кит

		blumen, pflanzen und bäume | flowers, plants, and trees
blumen, pflanzen und bäume | flowers, plants, and trees | квіти, рослини та дерева

der Stiel | stalk | стебло
das Blatt | leaf | листок
das Blütenblatt | petal | пелюстка
der Pollen | pollen | пилок
das Gras | grass | трава
die Knospe | bud | бутон
die Blumenzwiebel | bulb | цибулина квітки
das Holz | wood | деревина
der Zweig | branch | гілка
der Baumstamm | trunk | стовбур дерева
die Borke | bark | кора
die Wurzel | root | корінь

die Butterblume | buttercup | лютик
die Nelke | carnation | гвоздика
die Chrysantheme | chrysanthemum | хризантема
die Osterglocke | daffodil | нарцис
das Gänseblümchen | daisy | ромашка
der Löwenzahn | dandelion | кульбаба
das Edelweiß | edelweiss | едельвейс
die Hyazinthe | hyacinth | гіацинт
die Iris | iris | квітка ірису
die Lilie | lily | лілія
das Maiglöckchen | lily-of-the-valley | конвалія
die Orchidee | orchid | орхідея
das Stiefmütterchen | pansy | братки
die Mohnblume | poppy | мак
die Rose | rose | роза
die Sonnenblume | sunflower | соняшник
die Tulpe | tulip | тюльпан
das Veilchen | violet | фіалка

die Kastanie | chestnut | каштан
die Zypresse | cypress | кипарис
die Tanne | fir | ялина
der Pilz | fungus | гриб
der Weinstock | grapevine | виноградна лоза
der Efeu | ivy | плющ
das Moos | moss | мох
die Eiche | oak | дуб
die Kiefer | pine | сосна
die Platane | plane | площина
die Pappel | poplar | тополя
die Weide | willow | верба

		land, meer und himmel | land, sea, and sky
land, meer und himmel | land, sea, and sky | земля, море і небо

die Landschaft | landscape | краєвид
die Erde | soil | земля
der Schlamm | mud | грязь
das Wasser | water | вода
die Mündung | estuary | лиман
die Luft | air | повітря
die Atmosphäre | atmosphere | атмосфера
der Komet | comet | комета
der Sonnenaufgang | sunrise | схід сонця
der Sonnenuntergang | sunset | захід сонця
ländlich | rural | сільський
städtisch | urban | міський
Polar- | polar | полярний
alpin | alpine | альпійський
tropisch | tropical | тропічний

die Höhle | cave | печера
die Wüste | desert | пустеля
das Ackerland | farmland | сільськогосподарські угіддя
der Wald | forest | ліс
der Gletscher | glacier | льодовик
das Grasland | grassland | пасовище
der Hügel | hill | пагорб
der See | lake | озеро
der Sumpf | marsh | болото
der Berg | mountain | гора
der Teich | pond | ставок
der Fluss | river | річка
das Gestein | rocks | скеля
das Buschland | scrub | чагарник
der Bach | stream | потік
das Tal | valley | долина
der Vulkan | volcano | вулкан
der Wasserfall | waterfall | водоспад

die Klippe | cliff | скеля
die Küste | coast | узбережжя
das Korallenriff | coral reef | кораловий риф
die Insel | island | острів
die Halbinsel | peninsula | півострів
der Gezeitentümpel | rockpool | басейн припливів

das Polarlicht | aurora | північне сяйво
die Wolken; fpl | clouds | хмари
der Mond | moon | місяць
der Regenbogen | rainbow | веселка
die Sterne; mpl | stars | зірки
die Sonne | sun | сонце

	feste und festtage | celebrations and festivals
feste und festtage | celebrations and festivals | фестивалі та свята

		das wesentliche | the basics
die Gelegenheit | occasion | нагода
der Geburtstag | birthday | день народження
die Hochzeit | wedding | весілля
der Hochzeitstag | wedding anniversary | день весілля
der Feiertag | public holiday | свято
der religiöse Feiertag | religious holiday | релігійне свято
die Feier | celebration | вечірка
die Überraschungsparty | surprise party | вечірка-сюрприз
gute / schlechte Nachrichten | good / bad news | хороші / погані новини
feiern | to celebrate | святкувати
eine Party geben | to throw a party | провести вечірку
auf etwas anstoßen | to toast something | випити за щось
das Bukett | bouquet | букет
die Pralinen; fpl | box of chocolates | шоколадні цукерки
die Fähnchen; ntpl | bunting | прапори
der Kuchen | cake | пиріг
der Champagner | champagne | шампанське
das Konfetti | confetti | конфетті
die Dekorationen; fpl | decorations | прикраси
das Feuerwerk | fireworks | феєрверк
das Geschenk | gift | подарунок
die Grußkarte | greetings card | вітальна листівка
die Party | party | вечірка
die Luftschlangen; fpl | streamers | розтяжки

		festtage | high days and holidays
festtage | high days and holidays | свята

die Taufe | baptism | хрещення
die Taufe | christening | хрещення
der Bar Mitzwa | bar mitzvah | бар-міцва
die Bat Mitzwa | bat mitzvah | бат-міцва
die Babyparty | baby shower | вечірка на честь скорого народження дитини
die Geburt | birth | народження
die Kindheit | childhood | дитинство
der Schulanfang | first day of school | початок школи
die Abschlussfeier | graduation | церемонія вручення дипломів
die Verlobung | engagement | заручини
die Ehe | marriage | шлюб
die Scheidung | divorce | розлучення
der Umzug | relocation | переїзд
der Ruhestand | retirement | вихід на пенсію
die Beerdigung | funeral | похорон
der Muttertag | Mother's Day | день матері
der Vatertag | Father's Day | день батька
der erste April | April Fool's Day | перше квітня
Allerheiligen | All Saints' Day | день всіх святих
Diwali | Diwali | дівалі
Ostern | Easter | великдень
der Eid al-Fitr | Eid-al-Fitr | ід аль-Фітр
Halloween | Halloween | хеллоуїн
Chanukka | Hanukkah | ханука
der Martinstag | Martinmas | день святого Мартина
der Maifeiertag | May Day | першотравневий
der Ramadan | Ramadan | рамадан
der Rosenmontag | Rose Monday | розовий понеділок
das Erntedankfest | Thanksgiving | день подяки
der Valentinstag | Valentine's Day | день Святого Валентина

		weihnachten und neujahr | christmas and new year
weihnachten und neujahr | christmas and new year | різдво і новий рік

der Heiligabend | Christmas Eve | святвечір
der erste Weihnachtstag | Christmas Day | перший день Різдва
die Weihnachtskarte | Christmas card | різдвяна листівка
das Weihnachtsessen | Christmas dinner | різдвяна вечеря
die Weihnachtskugel | bauble | ялинкова куля
das Lametta | tinsel | мішура
das Geschenk | present | подарунок
der Neujahrstag | New Year's Day | день нового року
die Neujahrskarte | New Year's card | новорічна листівка
die Weihnachtsbeleuchtung | Christmas lights | різдвяні вогні
der Weihnachtsmarkt | Christmas market | різдвяний базар
der Weihnachtsbaum | Christmas tree | ялинка
der Weihnachtsmann / Sankt Nikolaus | Father Christmas / Santa Claus | Санта Клаус / Святий Миколай
die Lebkuchen; mpl | gingerbread biscuits | імбирне печиво
der Glühwein | mulled wine | глінтвейн
das Krippenspiel | Nativity play | вертепна вистава
die Weihnachtskrippe | Nativity scene | вертеп
das Silvester | New Year's Eve | переддень Нового року
Sankt Nikolaus und Knecht Ruprecht | Saint Nicholas and Knecht Ruprecht | святий Миколай і Кнехт Рупрехт
der Stollen | stollen | кекс
der Kranz | wreath | вінок

		karneval | carnival
karneval | carnival | карнавал

die Kinderschminke | face paint | дитячий макіяж
die Maske | mask | маска
der Kopfschmuck | headdress | головний убір
die Fastenzeit | Lent | великий піст
der Fastnachtsdienstag | Shrove Tuesday | масляний вівторок
der Aschermittwoch | Ash Wednesday | попільна середа
der Karnevalswagen | carnival float | карнавальний поплавок
das Kostüm | costume | костюм
die Strohpuppe | effigy | солом'яна лялька
der Jahrmarkt | funfair | ярмарок
der Karnevalsumzug | parade | карнавальний парад
der Straßenkünstler | street performer | вуличний артист
die Straßenkünstlerin | street performer | вуличний артист
